anual;mes;Territorio;Medida;Valor
2011;Abril;Malaga;Indice de precios hoteleros;92,2
2011;Abril;Sevilla;Indice de precios hoteleros;87,9
2011;Mayo;Almeria;Indice de precios hoteleros;94,6
2011;Mayo;Cadiz;Indice de precios hoteleros;86,8
2011;Mayo;Cordoba;Indice de precios hoteleros;96,4
2011;Mayo;Granada;Indice de precios hoteleros;88,4
2011;Mayo;Huelva;Indice de precios hoteleros;85,5
2011;Mayo;Jaen;Indice de precios hoteleros;93,5
2011;Mayo;Malaga;Indice de precios hoteleros;94,1
2011;Mayo;Sevilla;Indice de precios hoteleros;91,4
2011;Junio;Almeria;Indice de precios hoteleros;94,9
2011;Junio;Cadiz;Indice de precios hoteleros;84,7
2011;Junio;Cordoba;Indice de precios hoteleros;92,1
2011;Junio;Granada;Indice de precios hoteleros;84,6
2011;Junio;Huelva;Indice de precios hoteleros;89,9
2011;Junio;Jaen;Indice de precios hoteleros;93,9
2011;Junio;Malaga;Indice de precios hoteleros;96,8
2011;Junio;Sevilla;Indice de precios hoteleros;88,9
2011;Julio;Almeria;Indice de precios hoteleros;98,2
2011;Julio;Cadiz;Indice de precios hoteleros;89,8
2011;Julio;Cordoba;Indice de precios hoteleros;92,5
2011;Julio;Granada;Indice de precios hoteleros;85,1
2011;Julio;Huelva;Indice de precios hoteleros;92,7
2011;Julio;Jaen;Indice de precios hoteleros;95,6
2011;Julio;Malaga;Indice de precios hoteleros;95,0
2011;Julio;Sevilla;Indice de precios hoteleros;87,7
2011;Agosto;Almeria;Indice de precios hoteleros;94,6
2011;Agosto;Cadiz;Indice de precios hoteleros;93,8
2011;Agosto;Cordoba;Indice de precios hoteleros;86,6
2011;Agosto;Granada;Indice de precios hoteleros;92,1
2011;Agosto;Huelva;Indice de precios hoteleros;92,6
2011;Agosto;Jaen;Indice de precios hoteleros;98,3
2011;Agosto;Malaga;Indice de precios hoteleros;95,8
2011;Agosto;Sevilla;Indice de precios hoteleros;89,7
2011;Septiembre;Almeria;Indice de precios hoteleros;90,9
2011;Septiembre;Cadiz;Indice de precios hoteleros;87,1
2011;Septiembre;Cordoba;Indice de precios hoteleros;88,3
2011;Septiembre;Granada;Indice de precios hoteleros;90,9
2011;Septiembre;Huelva;Indice de precios hoteleros;99,3
2011;Septiembre;Jaen;Indice de precios hoteleros;95,5
2011;Septiembre;Malaga;Indice de precios hoteleros;93,0
2011;Septiembre;Sevilla;Indice de precios hoteleros;90,0
2011;Octubre;Almeria;Indice de precios hoteleros;92,1
2011;Octubre;Cadiz;Indice de precios hoteleros;88,2
2011;Octubre;Cordoba;Indice de precios hoteleros;98,0
2011;Octubre;Granada;Indice de precios hoteleros;87,0
2011;Octubre;Huelva;Indice de precios hoteleros;94,4
2011;Octubre;Jaen;Indice de precios hoteleros;97,8
2011;Octubre;Malaga;Indice de precios hoteleros;92,0
2011;Octubre;Sevilla;Indice de precios hoteleros;93,9
2011;Noviembre;Almeria;Indice de precios hoteleros;105,6
2011;Noviembre;Cadiz;Indice de precios hoteleros;88,3
2011;Noviembre;Cordoba;Indice de precios hoteleros;93,9
2011;Noviembre;Granada;Indice de precios hoteleros;86,4
2011;Noviembre;Huelva;Indice de precios hoteleros;85,8
2011;Noviembre;Jaen;Indice de precios hoteleros;97,8
2011;Noviembre;Malaga;Indice de precios hoteleros;94,3
2011;Noviembre;Sevilla;Indice de precios hoteleros;94,3
2011;Diciembre;Almeria;Indice de precios hoteleros;99,5
2011;Diciembre;Cadiz;Indice de precios hoteleros;89,0
2011;Diciembre;Cordoba;Indice de precios hoteleros;97,1
2011;Diciembre;Granada;Indice de precios hoteleros;90,0
2011;Diciembre;Huelva;Indice de precios hoteleros;88,0
2011;Diciembre;Jaen;Indice de precios hoteleros;92,2
2011;Diciembre;Malaga;Indice de precios hoteleros;96,8
2011;Diciembre;Sevilla;Indice de precios hoteleros;95,8
2012;Enero;Almeria;Indice de precios hoteleros;95,8
2012;Enero;Cadiz;Indice de precios hoteleros;88,4
2012;Enero;Cordoba;Indice de precios hoteleros;90,4
2012;Enero;Granada;Indice de precios hoteleros;85,2
2012;Enero;Huelva;Indice de precios hoteleros;89,2
2012;Enero;Jaen;Indice de precios hoteleros;98,3
2012;Enero;Malaga;Indice de precios hoteleros;94,8
2012;Enero;Sevilla;Indice de precios hoteleros;86,9
2012;Febrero;Almeria;Indice de precios hoteleros;94,6
2012;Febrero;Cadiz;Indice de precios hoteleros;84,6
2012;Febrero;Cordoba;Indice de precios hoteleros;88,5
2012;Febrero;Granada;Indice de precios hoteleros;86,7
2012;Febrero;Huelva;Indice de precios hoteleros;116,2
